id,topic,subtopic,grade_band,grade_level,difficulty,ca_standard,format,question,answer,common_errors,distractors,is_anchor
simila_scale_hs_har_001,similarity,scale_factor,high,9,hard,HSG.SRT.A.3,numeric_input,"Triangle ABC is similar to Triangle DEF. The area of Triangle ABC is 25 square units and the area of Triangle DEF is 81 square units. If the longest side of Triangle DEF is 27, what is the length of the longest side of Triangle ABC?",15,"[""Students may take the ratio of areas directly as the scale factor (25/81) instead of taking the square root."", ""Students may compute 27 \u00d7 (25/81) = 8.33 by applying the area ratio to the side length.""]",[],1
transf_transl_hs_eas_001,transformations,translations,high,9,easy,HSG.CO.A.2,multiple_choice,"Point A is located at (3, -2). If point A is translated 4 units to the right and 5 units up, what are the coordinates of the image A'?","(7, 3)","[""(7, -7)"", ""(-1, 3)""]","[""(7, 3)"", ""(7, -7)"", ""(-1, 3)"", ""(3, 3)""]",1
transf_reflec_hs_eas_001,transformations,reflections,high,9,easy,HSG.CO.A.2,multiple_choice,"Point B is located at (5, -3). What are the coordinates of B' after reflecting point B across the x-axis?","(5, 3)","[""(-5, -3)"", ""(-5, 3)""]","[""(5, 3)"", ""(-5, -3)"", ""(-5, 3)"", ""(5, -3)""]",1
transf_rotati_hs_eas_001,transformations,rotations,high,9,easy,HSG.CO.A.2,multiple_choice,"Which of the following best describes a 180° rotation of a point (x, y) about the origin?","(-x, -y)","[""(y, -x)"", ""(-y, x)""]","[""(-x, -y)"", ""(y, -x)"", ""(-y, x)"", ""(x, -y)""]",1
transf_dilati_hs_med_001,transformations,dilations,high,9,medium,HSG.CO.A.2,numeric_input,"Triangle PQR has vertex P at (4, 6). The triangle is dilated by a scale factor of 1/2 centered at the origin to produce triangle P'Q'R'. What is the x-coordinate of P'?",2,"[""8"", ""3""]",[],1
transf_reflec_hs_med_001,transformations,reflections,high,9,medium,HSG.CO.A.2,multiple_choice,"Point C is at (-2, 7). After reflecting C across the line y = x, the image is C'. Which point represents C'?","(7, -2)","[""(2, -7)"", ""(-7, 2)""]","[""(7, -2)"", ""(2, -7)"", ""(-7, 2)"", ""(-2, -7)""]",1
transf_rotati_hs_med_001,transformations,rotations,high,9,medium,HSG.CO.A.2,numeric_input,"Point D is at (3, -5). Point D is rotated 90° counterclockwise about the origin to get D'. What is the y-coordinate of D'?",3,"[""-3"", ""5""]",[],1
transf_transl_hs_har_001,transformations,translations,high,9,hard,HSG.CO.A.2,numeric_input,"Segment AB has endpoints A(1, 4) and B(5, -2). The segment is translated by vector (a, b) so that A' lands at (4, 1). If B' is then reflected across the y-axis, what is the x-coordinate of the final image of B?",-5,"[""5"", ""8""]",[],1
transf_dilati_hs_har_001,transformations,dilations,high,9,hard,HSG.CO.A.2,multiple_choice,"Triangle XYZ has vertices X(2, 4), Y(6, 4), and Z(4, 8). The triangle is dilated about the origin by a scale factor of 3, and then translated by the vector (-1, -2). What are the coordinates of the image of vertex X after both transformations?","(5, 10)","[""(5, 12)"", ""(6, 12)""]","[""(5, 10)"", ""(5, 12)"", ""(6, 12)"", ""(7, 10)""]",1
transf_rotati_hs_har_001,transformations,rotations,high,9,hard,HSG.CO.A.2,multiple_choice,"Point M is at (a, b) where a > 0 and b > 0. M is rotated 90° clockwise about the origin to get M', and then M' is reflected across the x-axis to get M''. Which expression correctly represents the coordinates of M''?","(b, a)","[""(-b, -a)"", ""(b, -a)""]","[""(b, a)"", ""(-b, -a)"", ""(b, -a)"", ""(-b, a)""]",1
pythag_findh_hs_eas_001,pythagorean_theorem,find_hypotenuse,high,9,easy,HSG.SRT.B.4,numeric_input,A right triangle has legs of length 6 and 8. What is the length of the hypotenuse?,10,"[""7"", ""14""]",[],1
pythag_findl_hs_eas_001,pythagorean_theorem,find_leg,high,9,easy,HSG.SRT.B.4,numeric_input,A right triangle has a hypotenuse of length 13 and one leg of length 5. What is the length of the other leg?,12,"[""8"", ""18""]",[],1
pythag_conver_hs_eas_001,pythagorean_theorem,converse,high,9,easy,HSG.SRT.B.4,multiple_choice,"A triangle has side lengths 3, 4, and 5. Which statement correctly applies the Converse of the Pythagorean Theorem?","Because 3² + 4² = 5², the triangle is a right triangle.","[""Because 3 + 4 = 7 \u2260 5, the triangle is not a right triangle."", ""Because 3\u00b2 + 4\u00b2 \u2260 5, the triangle is not a right triangle.""]","[""Because 3\u00b2 + 4\u00b2 = 5\u00b2, the triangle is a right triangle."", ""Because 3 + 4 > 5, the triangle is a right triangle."", ""Because 3 + 4 = 7 \u2260 5, the triangle is not a right triangle."", ""Because 3\u00b2 + 4\u00b2 \u2260 5, the triangle is not a right triangle.""]",1
pythag_realw_hs_med_001,pythagorean_theorem,real_world,high,9,medium,HSG.SRT.B.4,numeric_input,A 15-foot ladder leans against a wall. The base of the ladder is placed 9 feet away from the wall. How high up the wall does the ladder reach? Round to the nearest whole number if necessary.,12,"[""6"", ""17""]",[],1
pythag_findh_hs_med_001,pythagorean_theorem,find_hypotenuse,high,9,medium,HSG.SRT.B.4,numeric_input,"A right triangle has legs of length 5 and 7. What is the exact length of the hypotenuse? Express your answer in simplest radical form (enter the number under the radical sign only, e.g., if the answer is √74 enter 74).",74,"[""12"", ""35""]",[],1
pythag_conver_hs_med_001,pythagorean_theorem,converse,high,9,medium,HSG.SRT.B.4,multiple_choice,"A student claims that a triangle with sides 7, 10, and 12 is a right triangle. Which calculation correctly evaluates this claim?","7² + 10² = 149 ≠ 144 = 12², so the triangle is NOT a right triangle.","[""7\u00b2 + 12\u00b2 = 193 \u2260 100 = 10\u00b2, so a student might incorrectly test the wrong pair of sides and still reach the right conclusion."", ""7 + 10 = 17 \u2260 12, so the triangle is not a right triangle.""]","[""7\u00b2 + 10\u00b2 = 149 \u2260 144 = 12\u00b2, so the triangle is NOT a right triangle."", ""7\u00b2 + 10\u00b2 = 149 = 12\u00b2, so the triangle IS a right triangle."", ""7 + 10 + 12 = 29, which is not a perfect square, so the triangle is not a right triangle."", ""7 \u00d7 10 = 70 \u2260 12\u00b2, so the triangle is NOT a right triangle.""]",1
pythag_realw_hs_har_001,pythagorean_theorem,real_world,high,9,hard,HSG.SRT.B.4,numeric_input,"Two hikers start at the same point. Hiker A walks 8 miles due north, and Hiker B walks 15 miles due east. Then Hiker A walks an additional 6 miles due east. What is the straight-line distance, in miles, between the two hikers at this point?",sqrt(145),"[""23"", ""17""]",[],1
pythag_findl_hs_har_001,pythagorean_theorem,find_leg,high,9,hard,HSG.SRT.B.4,numeric_input,"In a right triangle, the hypotenuse has length (2x + 1), one leg has length x, and the other leg has length (x + 7). Find the value of x. (Assume x > 0.)",8,"[""3"", ""6""]",[],1
pythag_findh_hs_har_001,pythagorean_theorem,find_hypotenuse,high,9,hard,HSG.SRT.B.4,multiple_choice,"A rectangle has a diagonal of length d and sides of length (x + 3) and (x − 1). If the diagonal has length 10, which equation correctly models the situation, and what is the positive value of x?",(x + 3)² + (x − 1)² = 100; x = 5,"[""(x+3) + (x-1) = 10 leading to x = 4"", ""(x+3)\u00b2 + (x-1)\u00b2 = 10 leading to an incorrect x value""]","[""(x + 3)\u00b2 + (x \u2212 1)\u00b2 = 100; x = 5"", ""(x + 3) + (x \u2212 1) = 10; x = 4"", ""(x + 3)\u00b2 + (x \u2212 1)\u00b2 = 10; x = 2"", ""(x + 3)\u00b2 \u2212 (x \u2212 1)\u00b2 = 100; x = 7""]",1
specia_4545_hs_eas_001,special_right_triangles,45_45_90,high,9,easy,HSG.SRT.C.6,multiple_choice,"In a 45-45-90 triangle, the two legs are equal in length. If each leg has a length of 7, what is the length of the hypotenuse?",7√2,"[""14"", ""7\u221a3""]","[""7\u221a2"", ""14"", ""7\u221a3"", ""7""]",1
specia_3060_hs_eas_001,special_right_triangles,30_60_90,high,9,easy,HSG.SRT.C.6,numeric_input,"In a 30-60-90 triangle, the shortest side (opposite the 30° angle) has a length of 5. What is the length of the hypotenuse?",10,"[""5\u221a3"", ""5\u221a2""]",[],1
specia_3060_hs_eas_002,special_right_triangles,30_60_90,high,9,easy,HSG.SRT.C.6,multiple_choice,"In a 30-60-90 triangle, which side is the longest?","The hypotenuse, which is opposite the 90° angle","[""The side opposite the 60\u00b0 angle"", ""Both legs are equal""]","[""The hypotenuse, which is opposite the 90\u00b0 angle"", ""The side opposite the 60\u00b0 angle"", ""The side opposite the 30\u00b0 angle"", ""Both legs are equal in length""]",1
specia_4545_hs_med_001,special_right_triangles,45_45_90,high,9,medium,HSG.SRT.C.6,numeric_input,"In a 45-45-90 triangle, the hypotenuse has a length of 10. What is the length of each leg? Round your answer to the nearest tenth.",7.1,"[""10\u221a2 \u2248 14.1"", ""5""]",[],1
specia_3060_hs_med_001,special_right_triangles,30_60_90,high,9,medium,HSG.SRT.C.6,numeric_input,"In a 30-60-90 triangle, the side opposite the 60° angle has a length of 9√3. What is the length of the hypotenuse?",18,"[""9"", ""9\u221a6""]",[],1
specia_mixed_hs_med_001,special_right_triangles,mixed,high,9,medium,HSG.SRT.C.6,multiple_choice,"A right triangle has angles of 30°, 60°, and 90°. The hypotenuse is 14. Which of the following correctly lists all three side lengths?","7, 7√3, 14","[""7\u221a2, 7\u221a2, 14"", ""7, 7\u221a2, 14""]","[""7, 7\u221a3, 14"", ""7\u221a2, 7\u221a2, 14"", ""7, 7\u221a2, 14"", ""14\u221a3, 14\u221a3, 14""]",1
specia_mixed_hs_har_001,special_right_triangles,mixed,high,9,hard,HSG.SRT.C.6,numeric_input,"An equilateral triangle has a side length of 12. A perpendicular is drawn from one vertex to the opposite side, creating two congruent right triangles. What is the height (length of the perpendicular) of the equilateral triangle?",6√3,"[""6"", ""12\u221a3""]",[],1
specia_4545_hs_har_001,special_right_triangles,45_45_90,high,9,hard,HSG.SRT.C.6,numeric_input,A square has a diagonal of length 18. What is the side length of the square? Express your answer in simplest radical form as a decimal rounded to the nearest tenth.,9.0,"[""12.7"", ""25.5""]",[],1
specia_mixed_hs_har_002,special_right_triangles,mixed,high,9,hard,HSG.SRT.C.6,multiple_choice,Triangle ABC has a right angle at C. Angle A = 30° and BC = 8. A second triangle DEF is a 45-45-90 triangle with hypotenuse equal to the hypotenuse of triangle ABC. What is the leg length of triangle DEF? Express your answer in simplest form.,8√2,"[""8"", ""16\u221a2""]","[""8\u221a2"", ""8"", ""16\u221a2"", ""8\u221a6""]",1
sohca_finds_hs_eas_001,soh_cah_toa,find_side,high,9,easy,HSG.SRT.C.6,numeric_input,"In a right triangle, the hypotenuse is 10 and one acute angle is 30°. What is the length of the side opposite the 30° angle? Round to the nearest tenth.",5.0,"[""8.7 (used cosine instead of sine)"", ""0.5 (forgot to multiply by hypotenuse)""]",[],1
sohca_finda_hs_eas_001,soh_cah_toa,find_angle,high,9,easy,HSG.SRT.C.6,multiple_choice,"In a right triangle, the side opposite angle θ is 7 and the hypotenuse is 7. Which equation correctly sets up finding angle θ?","sin(θ) = 7/7 = 1, so θ = 90°","[""Students confuse opposite and adjacent"", ""Students use cos instead of sin""]","[""sin(\u03b8) = 7/7 = 1, so \u03b8 = 90\u00b0"", ""cos(\u03b8) = 7/7 = 1, so \u03b8 = 0\u00b0"", ""tan(\u03b8) = 7/7 = 1, so \u03b8 = 45\u00b0"", ""sin(\u03b8) = 1/7, so \u03b8 = sin\u207b\u00b9(1/7)""]",1
sohca_invers_hs_eas_001,soh_cah_toa,inverse_trig,high,9,easy,HSG.SRT.C.6,multiple_choice,Which expression correctly finds angle θ in a right triangle where the adjacent side is 5 and the hypotenuse is 13?,θ = cos⁻¹(5/13),"[""Using sin instead of cos (mixing up opposite and adjacent)"", ""Writing the ratio upside down""]","[""\u03b8 = cos\u207b\u00b9(5/13)"", ""\u03b8 = sin\u207b\u00b9(5/13)"", ""\u03b8 = tan\u207b\u00b9(5/13)"", ""\u03b8 = cos\u207b\u00b9(13/5)""]",1
sohca_finds_hs_med_001,soh_cah_toa,find_side,high,9,medium,HSG.SRT.C.6,numeric_input,"In a right triangle, one acute angle is 42° and the side adjacent to that angle is 15. What is the length of the side opposite the 42° angle? Round to the nearest tenth.",13.5,"[""11.1 (used cosine: 15 \u00d7 cos(42\u00b0))"", ""20.1 (used hypotenuse formula: 15 / cos(42\u00b0))""]",[],1
sohca_wordp_hs_med_001,soh_cah_toa,word_problems,high,9,medium,HSG.SRT.C.6,numeric_input,A 20-foot ladder leans against a wall and makes a 65° angle with the ground. How high up the wall does the ladder reach? Round to the nearest tenth of a foot.,18.1,"[""8.5 (used cosine instead of sine)"", ""22.1 (divided instead of multiplied: 20 / sin(65\u00b0))""]",[],1
sohca_finda_hs_med_001,soh_cah_toa,find_angle,high,9,medium,HSG.SRT.C.6,numeric_input,"In a right triangle, the side opposite angle θ is 9 and the side adjacent to angle θ is 12. What is the measure of angle θ in degrees? Round to the nearest tenth.",36.9,"[""53.1 (found the complement by swapping opposite and adjacent)"", ""0.75 (reported the ratio instead of computing the inverse tangent)""]",[],1
sohca_wordp_hs_har_001,soh_cah_toa,word_problems,high,9,hard,HSG.SRT.C.6,numeric_input,A person standing 50 feet from the base of a building looks up at a 38° angle of elevation to the top of the building and down at a 15° angle of depression to the base of a window. What is the vertical distance between the top of the building and the window? Round to the nearest tenth of a foot.,52.7,"[""39.1 (only computed the height to the top: 50 \u00d7 tan(38\u00b0) \u2248 39.1, forgetting to add the window distance)"", ""26.4 (subtracted instead of added the two vertical distances)""]",[],1
sohca_finds_hs_har_001,soh_cah_toa,find_side,high,9,hard,HSG.SRT.C.6,numeric_input,"In right triangle ABC with the right angle at C, angle A = 28° and the side opposite angle B (which is side AC) has length 22. What is the length of the hypotenuse AB? Round to the nearest tenth.",46.9,"[""24.9 (used sin(28\u00b0) with 22 as opposite, not recognizing AC is adjacent to A)"", ""10.3 (used 22 \u00d7 sin(28\u00b0) instead of dividing)""]",[],1
sohca_invers_hs_har_001,soh_cah_toa,inverse_trig,high,9,hard,HSG.SRT.C.6,numeric_input,"In right triangle PQR with the right angle at R, PQ = 17 and PR = 8. A student wants to find angle Q. First the student must find QR using the Pythagorean theorem, then apply an inverse trig function. What is the measure of angle Q in degrees? Round to the nearest tenth.",28.1,"[""61.9 (found angle P instead of angle Q)"", ""27.9 (used sin\u207b\u00b9(8/17) which gives angle P, not angle Q)""]",[],1
unitc_radian_hs_eas_001,unit_circle,radian_degree_conversion,high,10,easy,HSF.TF.A.2,numeric_input,"Convert 180° to radians. Enter your answer in terms of π (for example, type '2π/3' as '2π/3').",π,"[""2\u03c0"", ""\u03c0/2""]",[],1
unitc_trigv_hs_eas_001,unit_circle,trig_values,high,10,easy,HSF.TF.A.2,multiple_choice,What is the exact value of sin(90°)?,1,"[""0"", ""\u221a2/2""]","[""1"", ""0"", ""\u221a2/2"", ""-1""]",1
unitc_quadra_hs_eas_001,unit_circle,quadrants,high,10,easy,HSF.TF.A.2,multiple_choice,In which quadrant does the angle 210° lie?,Quadrant III,"[""Quadrant II"", ""Quadrant IV""]","[""Quadrant III"", ""Quadrant II"", ""Quadrant IV"", ""Quadrant I""]",1
unitc_refere_hs_med_001,unit_circle,reference_angles,high,10,medium,HSF.TF.A.2,numeric_input,Find the reference angle (in degrees) for an angle of 310°.,50,"[""130"", ""40""]",[],1
unitc_radian_hs_med_001,unit_circle,radian_degree_conversion,high,10,medium,HSF.TF.A.2,multiple_choice,Which of the following is equivalent to 5π/6 radians expressed in degrees?,150°,"[""120\u00b0"", ""210\u00b0""]","[""150\u00b0"", ""120\u00b0"", ""210\u00b0"", ""300\u00b0""]",1
unitc_trigv_hs_med_001,unit_circle,trig_values,high,10,medium,HSF.TF.A.2,numeric_input,"Using the unit circle, find the exact value of cos(5π/4). Enter your answer using a fraction and radical if needed (for example, '-√2/2').",-√2/2,"[""\u221a2/2"", ""-\u221a3/2""]",[],1
unitc_refere_hs_har_001,unit_circle,reference_angles,high,10,hard,HSF.TF.A.2,numeric_input,"Find the exact value of tan(7π/6). Enter your answer as a simplified radical expression (for example, '√3/3').",√3/3,"[""-\u221a3/3"", ""\u221a3""]",[],1
unitc_quadra_hs_har_001,unit_circle,quadrants,high,10,hard,HSF.TF.A.2,multiple_choice,"An angle θ is in standard position and its terminal side passes through the point (−3, 4). Which of the following correctly identifies the quadrant of θ AND the value of sin(θ)?",Quadrant II; sin(θ) = 4/5,"[""Quadrant II; sin(\u03b8) = \u22124/5"", ""Quadrant III; sin(\u03b8) = 4/5""]","[""Quadrant II; sin(\u03b8) = 4/5"", ""Quadrant II; sin(\u03b8) = \u22124/5"", ""Quadrant III; sin(\u03b8) = 4/5"", ""Quadrant I; sin(\u03b8) = 4/5""]",1
unitc_trigv_hs_har_001,unit_circle,trig_values,high,10,hard,HSF.TF.A.2,multiple_choice,Which expression is equivalent to sin(−2π/3)?,−√3/2,"[""\u221a3/2"", ""\u22121/2""]","[""\u2212\u221a3/2"", ""\u221a3/2"", ""\u22121/2"", ""1/2""]",1
circle_centra_hs_eas_001,circles,central_angles,high,10,easy,HSG.C.A.2,multiple_choice,A central angle in a circle measures 80°. What is the measure of the arc it intercepts?,80°,"[""160\u00b0 (doubling the angle, confusing with inscribed angle rule)"", ""40\u00b0 (halving the angle, reversing inscribed angle rule)""]","[""80\u00b0"", ""160\u00b0"", ""40\u00b0"", ""100\u00b0""]",1
circle_inscri_hs_eas_001,circles,inscribed_angles,high,10,easy,HSG.C.A.2,multiple_choice,An inscribed angle in a circle intercepts an arc of 120°. What is the measure of the inscribed angle?,60°,"[""120\u00b0 (forgetting to halve the arc)"", ""240\u00b0 (doubling instead of halving)""]","[""60\u00b0"", ""120\u00b0"", ""30\u00b0"", ""240\u00b0""]",1
circle_arcle_hs_eas_001,circles,arc_length,high,10,easy,HSG.C.A.2,numeric_input,A circle has a radius of 6 cm. What is the arc length of a 90° central angle? Give your answer in terms of π.,3π,"[""12\u03c0 (using diameter instead of radius)"", ""6\u03c0 (forgetting to multiply by 1/4, using full circumference)""]",[],1
circle_sector_hs_med_001,circles,sector_area,high,10,medium,HSG.C.A.2,numeric_input,A circle has a radius of 9 cm. A sector has a central angle of 40°. What is the area of the sector? Give your answer in terms of π.,9π,"[""18\u03c0 (forgetting to square the radius or using 2r)"", ""81\u03c0 (forgetting to multiply by the fraction 40/360)""]",[],1
circle_chords_hs_med_001,circles,chords_tangents,high,10,medium,HSG.C.A.2,multiple_choice,"Two chords, AB and CD, intersect inside a circle at point P. If arc AC = 80° and arc BD = 60°, what is the measure of angle APС?",70°,"[""80\u00b0 (using only one arc instead of averaging)"", ""20\u00b0 (subtracting arcs instead of averaging)""]","[""70\u00b0"", ""80\u00b0"", ""20\u00b0"", ""140\u00b0""]",1
